Team,Conference,plays,drives,ppa,totalPPA,successRate,explosiveness,powerSuccess,stuffRate,lineYards,lineYardsTotal,secondLevelYards,secondLevelYardsTotal,openFieldYards,openFieldYardsTotal,standardDowns_ppa,standardDowns_successRate,standardDowns_explosiveness,passingDowns_ppa,passingDowns_successRate,passingDowns_explosiveness,rushingPlays_ppa,rushingPlays_totalPPA,rushingPlays_successRate,rushingPlays_explosiveness,passingPlays_ppa,passingPlays_totalPPA,passingPlays_successRate,passingPlays_explosiveness
Air Force,Mountain West,55.69230769,10.53846154,0.121978694,6.942164492,0.400843349,1.167870055,0.746153846,0.189780798,2.712064921,73.53846154,0.839673411,21.46153846,0.950113709,26.09090909,0.021347277,0.457567466,0.913024444,0.310359177,0.284632451,1.980717726,0.058117127,1.648550961,0.383993161,0.900224416,0.187294914,5.929085597,0.396836315,1.515669885
Akron,MAC,62.66666667,11.58333333,0.15960858,8.780372707,0.397032207,1.383689256,0.723148148,0.164377604,2.924346379,101.3333333,1.025835028,34.75,1.56711161,50,0.02964605,0.439341754,1.073348302,0.444993677,0.319450869,2.329718716,0.133428023,4.942315906,0.412204379,1.091505497,0.192851082,4.914389305,0.37164315,1.719070914
Alabama,SEC,62.5,12,0.119915225,7.34217309,0.353168324,1.347248475,0.691666667,0.149201436,2.982962908,91.71428571,0.907133428,27.92857143,1.280778146,37.76923077,0.045584387,0.401353272,1.076321534,0.18284376,0.248890267,1.954330044,0.131801275,3.355990277,0.371283102,1.117656375,0.146375665,4.691761059,0.344341259,1.588045521
Appalachian State,Sun Belt,64.42857143,12,0.18006109,12.47061881,0.4201266,1.299909397,0.736904762,0.13827555,3.418013836,108.3571429,1.280838708,41.21428571,1.740502649,54.64285714,0.053677288,0.452168754,1.022169453,0.429460093,0.338624801,2.09319117,0.236424296,7.204829569,0.445949989,1.100898701,0.15686347,6.431181176,0.391616497,1.626891934
Arizona,Big 12,64.15384615,11.38461538,0.149261224,9.411688585,0.410962223,1.274823111,0.746153846,0.196572439,2.964998962,88.23076923,1.014796505,30.76923077,1.159350226,34.76923077,0.087309432,0.456657586,1.038993021,0.256048421,0.319780532,1.946297052,0.1061807,3.013788601,0.42891686,0.964946739,0.239816711,8.135978469,0.398270448,1.573578318
Arizona State,Big 12,64.66666667,11.58333333,0.247705912,16.56023163,0.453871174,1.242634807,0.765873016,0.138180603,3.334491128,96.91666667,1.179734862,34.5,1.230105051,38.66666667,0.160271189,0.506738651,1.051083713,0.478010072,0.327934767,2.073459955,0.16429988,4.858595584,0.449753122,0.994027252,0.339404811,12.09699843,0.464722467,1.466230104
Arkansas,SEC,62.41666667,12.08333333,0.122796973,8.312966039,0.397048142,1.322680135,0.778935185,0.171944063,2.968593331,102.75,1.049360735,37.41666667,1.5227907,50.83333333,0.053149104,0.449786527,1.034241736,0.262802814,0.282908831,2.28959717,0.061548157,3.028543209,0.401044712,0.931575952,0.246026431,6.525204454,0.395081521,1.813260889
Arkansas State,Sun Belt,70.76923077,12.15384615,0.23208857,16.62186255,0.424686057,1.309275953,0.847252747,0.162828979,3.145253827,114.0769231,1.15971548,42.07692308,1.787002039,63.84615385,0.182389465,0.492396017,1.102294662,0.341336892,0.271590939,2.185758824,0.155508062,6.36710984,0.43947883,1.045276969,0.333400185,10.50952389,0.417055174,1.6470218
Army,AAC,61.16666667,10.41666667,0.246746075,14.44566165,0.458657052,1.227932064,0.523148148,0.136734358,3.401200859,116.8333333,1.143639912,39.75,1.608350093,52.16666667,0.205886747,0.512000792,0.999504394,0.322785361,0.302779022,2.337692227,0.257577947,9.180217049,0.461958922,1.081044009,0.249688264,7.138140497,0.436826431,1.465029892
Auburn,SEC,62.38461538,11.76923077,0.150701912,9.471031759,0.39759067,1.339705901,0.837179487,0.185626495,2.915515675,96.53846154,1.142521927,37.61538462,1.447745144,45.53846154,0.063746165,0.443572641,1.032851334,0.32379076,0.317596521,2.198455318,0.127720692,4.308488574,0.423588483,1.008042079,0.209671189,5.689543522,0.376408373,1.806622153
BYU,Independent,69.25,12.16666667,0.199356934,13.97139806,0.428797975,1.28242043,0.666203704,0.162757513,3.216148941,114.5833333,1.152185166,42,1.3172494,47.45454545,0.041632586,0.461330769,0.991902014,0.531946327,0.370709643,2.018693842,0.136340232,5.390534711,0.406522642,0.974658459,0.298606583,9.966345146,0.449243567,1.584385185
Ball State,MAC,60.08333333,11,0.148345749,10.06159916,0.399277976,1.278312403,0.752777778,0.160781327,2.98970617,86.5,1.00768097,29.08333333,1.317842052,36,0.100152345,0.457062255,1.019718911,0.228871724,0.279217261,2.016291945,0.077166782,2.248098265,0.389560014,1.003415851,0.251176565,8.27693312,0.409999048,1.561592376
Baylor,Big 12,62.41666667,11.25,0.292837627,18.74140086,0.452714249,1.386779478,0.688888889,0.187158234,3.293474295,111.75,1.201143207,40.58333333,1.959231456,66.41666667,0.222496593,0.487565175,1.156652786,0.454643625,0.358302889,2.21096823,0.235314532,7.911674362,0.460711272,1.150462623,0.397906583,12.20498457,0.439254705,1.653502943
